url;identificador;locale;send;foto;nombre;telefono;fax;correo-electronico;web;horario;descripcion;direccion;localizacion;categorias
http://www.gijon.es/directorios/show/1753-farmacia-ldo-antonio-alvarez-abad;1753;es;fecha-actualizacion2014-01-22 12:03:08 +0100;http://www.gijon.es/data/images/f7/7298/150x178_v1_DirectorioFarmacias_ParafarmaciasFarmacia1.jpg;Farmacia Ldo. Antonio Álvarez Abad;985 348 262;;info@farmaciaanton.com;;Lunes a Viernes: 9:00-23:00 h. Sábados: 9:00-14:00 h.;Espacio de salud orientado a mejorar la calidad de vida de sus clientes, a través de la provisión de productos y servicios, en compromiso constante con la calidad y la innovación. Servicios: ortopedia, dietética, medicina natural, deportista, parafarmacia, veterinaria y óptica .;C/Magnus Blikstad, 19;43.537661 -5.66765;Farmacias, 2010, Gijón
http://www.gijon.es/directorios/show/710-farmacia-vegas-fernandez;710;es;fecha-actualizacion2015-04-06 14:32:28 +0200;http://www.gijon.es/data/images/f6/6631/150x178_v1_DirectorioFarmacias_ParafarmaciasFarmacia1.jpg;Farmacia Vegas Fernández;985 386 425;;;;Lunes a Viernes: 9:00-21:00h. Sábados:9:45-13:45h.;;Avda. Schultz, 42;43.535492 -5.664115;Farmacias, 2010, Gijón, Sanidad
http://www.gijon.es/directorios/show/709-farmacia-torre;709;es;fecha-actualizacion2014-01-22 12:02:39 +0100;http://www.gijon.es/data/images/f6/6630/150x178_v1_DirectorioFarmacias_ParafarmaciasFarmacia1.jpg;Farmacia Torre;985 340 004;;;;Lunes a Viernes:9:30-13:30h. y 16:15-19:30h.(Veranos 16:45-20:00h.) Sábados:9:45-13:30h.;;C/Corrida, 31;43.541685 -5.663927;Farmacias, 2010, Gijón
http://www.gijon.es/directorios/show/708-farmacia-torano;708;es;fecha-actualizacion2014-01-22 12:02:39 +0100;http://www.gijon.es/data/images/f6/6629/150x178_v1_DirectorioFarmacias_ParafarmaciasFarmacia1.jpg;Farmacia Toraño;985 341 733;;;;Lunes a Viernes:9:30-13:30h. y 16:15-19:30h.(Veranos 16:45-20:00h.) Sábados:9:45-13:30h.;Productos: Plantas medicinales, Fórmulas magistrales, Anáslisis clinicos, Alimentación Infantil.;C/Covadonga, 16;43.53948 -5.659464;Farmacias, 2010, Gijón
http://www.gijon.es/directorios/show/707-farmacia-somio;707;es;fecha-actualizacion2014-01-22 12:02:39 +0100;http://www.gijon.es/data/images/f6/6628/150x178_v1_DirectorioFarmacias_ParafarmaciasFarmacia1.jpg;Farmacia Somió;985 362 148;;;;Lunes a Viernes:9:30-13:30h. y 16:15-19:30h.(Veranos 16:45-20:00h.) Sábados:9:45-13:30h.;;Avda. Dionisio Cifuentes, 58;43.536706 -5.622479;Farmacias, 2010, Gijón
http://www.gijon.es/directorios/show/706-farmacia-soledad;706;es;fecha-actualizacion2014-01-22 12:02:39 +0100;http://www.gijon.es/data/images/f6/6627/150x178_v1_DirectorioFarmacias_ParafarmaciasFarmacia1.jpg;Farmacia Soledad;985 352 653;;;;Lunes a Viernes:9:30-13:30h. y 16:15-19:30h.(Veranos 16:45-20:00h.) Sábados:9:45-13:30h.;Productos: Fórmulas magistrales, Anáslisis clinicos, Medicina Homeopática.;C/San Agustín, 1;43.541335 -5.65982;Farmacias, 2010, Gijón
http://www.gijon.es/directorios/show/705-farmacia-silvia-gonzalez-fernandez;705;es;fecha-actualizacion2014-01-22 12:02:39 +0100;http://www.gijon.es/data/images/f6/6626/150x178_v1_DirectorioFarmacias_ParafarmaciasFarmacia1.jpg;Farmacia Silvia González Fernández;985 320 019;985 320 019;;;Lunes a Viernes:9:30-13:30h. y 16:15-19:30h.(Veranos 16:45-20:00h.) Sábados:9:45-13:30h.;;C/Manuel R. Álvarez, 3 (La Calzada);43.539154 -5.700848;Farmacias, 2010, Gijón
http://www.gijon.es/directorios/show/704-farmacia-rosa-maria-touris-romero;704;es;fecha-actualizacion2014-01-22 12:02:39 +0100;http://www.gijon.es/data/images/f6/6625/150x178_v1_DirectorioFarmacias_ParafarmaciasFarmacia1.jpg;Farmacia Rosa María Touris Romero;985 382 673;;;;Lunes a Viernes:9:30-13:30h. y 16:15-19:30h.(Veranos 16:45-20:00h.) Sábados:9:45-13:30h.;;Avda. Gaspar García Laviana, 67;43.525911 -5.666075;Farmacias, 2010, Gijón
http://www.gijon.es/directorios/show/703-farmacia-pinzales;703;es;fecha-actualizacion2014-01-22 12:02:39 +0100;http://www.gijon.es/data/images/f6/6624/150x178_v1_DirectorioFarmacias_ParafarmaciasFarmacia1.jpg;Farmacia Pinzales;985 167 544;;;;Lunes a Viernes:9:30-13:30h. y 16:15-19:30h.(Veranos 16:45-20:00h.) Sábados:9:45-13:30h.;;Casares;43.491818 -5.719736;Farmacias, 2010, Gijón
http://www.gijon.es/directorios/show/702-farmacia-palacio-c-b-ldo-daniela-palacio-fernadez-eduardo-palacio-fernandez;702;es;fecha-actualizacion2014-01-22 12:02:39 +0100;http://www.gijon.es/data/images/f6/6623/150x178_v1_DirectorioFarmacias_ParafarmaciasFarmacia1.jpg;Farmacia Palacio C.B. - Ldo. Daniela Palacio Fernádez, Eduardo Palacio Fernández;985 386 525;;rebotica@farmaciapalacio.com;;Lunes a Viernes:9:30-13:30h. y 16:15-19:30h.(Veranos 16:45-20:00h.) Sábados:9:45-13:30h.;;Farmacia Palacio C.B. - Ldo. Daniela Palacio Fernández, Eduado Palacio Fernández - Avda. Manuel Llaneza, 19 -21;43.535841 -5.6618;2010, Gijón, Farmacias
http://www.gijon.es/directorios/show/701-farmacia-pagin-c-b;701;es;fecha-actualizacion2014-01-22 12:02:39 +0100;http://www.gijon.es/data/images/f6/6622/150x178_v1_DirectorioFarmacias_ParafarmaciasFarmacia1.jpg;Farmacia Pagin C.B.;985 366 926;985 366 926;;;Lunes a Viernes:9:30-13:30h. y 16:15-19:30h.(Veranos 16:45-20:00h.) Sábados:9:45-13:30h.;;C/Avelino Gonzalez Mallada, 44;43.532453 -5.648713;Farmacias, 2010, Gijón
http://www.gijon.es/directorios/show/700-farmacia-molinon-lda-araceli-garcia-de-la-fuente;700;es;fecha-actualizacion2014-01-22 12:02:39 +0100;http://www.gijon.es/data/images/f6/6621/150x178_v1_DirectorioFarmacias_ParafarmaciasFarmacia1.jpg;Farmacia Molinón - Lda. Araceli García de La Fuente;985 195 451;985 335 136;c08882@cofas.es;;Lunes a Viernes:9:30-13:30h. y 16:15-19:30h.(Veranos 16:45-20:00h.) Sábados:9:45-13:30h.;;C/Gregorio Marañón, 3;43.534717 -5.642681;Farmacias, 2010, Gijón
